ModelTag,clean_acc,clean_auroc,clean_auprc,clean_f1,pgd_acc,pgd_auroc,pgd_auprc,pgd_f1,jpeg90_acc,jpeg90_auroc,jpeg90_auprc,jpeg90_f1,jpeg70_acc,jpeg70_auroc,jpeg70_auprc,jpeg70_f1,aa_acc
recce_fp32_standard,0.9008711600183402,0.9596927762031556,0.9690566658973694,0.8939884305000305,0.0,0.0,0.304106205701828,0.0,0.8995873452544704,0.9596802592277528,0.9689652919769288,0.8924255967140198,0.895735900962861,0.958984911441803,0.968207597732544,0.8870791792869568,0.0
recce_fp32_pgd_at,0.503622191655204,0.5653284788131714,0.5577531456947327,0.0,0.503622191655204,0.079441525042057,0.3184187412261963,0.0,0.503622191655204,0.5655574798583984,0.5579176545143127,0.0,0.503622191655204,0.5653592944145203,0.5578665733337402,0.0,
recce_fp32_trades,0.9169188445667124,0.9863629937171936,0.9858866930007936,0.9111241698265076,0.3098578633654287,0.2669599056243896,0.3585306704044342,0.20511195063591,0.9169188445667124,0.9863406419754028,0.9858589768409728,0.9111067652702332,0.915818431911967,0.9865111708641052,0.9860446453094482,0.9098054766654968,
recce_int8dyn_standard,0.900687757909216,0.9596703052520752,0.969048023223877,0.8937506079673767,,,,,0.8997707473635946,0.9596480131149292,0.9689497351646424,0.892600953578949,0.8953690967446125,0.9589322805404664,0.9681796431541444,0.8866143226623535,
recce_int8dyn_pgd_at,0.503622191655204,0.5539505481719971,0.5465918779373169,0.0,,,,,0.503622191655204,0.5531481504440308,0.5461243391036987,0.0,0.503622191655204,0.553800642490387,0.5462906956672668,0.0,
recce_int8dyn_trades,0.9168271435121504,0.9863331317901612,0.9858556985855104,0.9109998941421508,,,,,0.9168271435121504,0.986303210258484,0.9858202934265136,0.91101735830307,0.9160018340210913,0.9864825010299684,0.9860154390335084,0.9100196361541748,
recce_int8static_fx_standard,0.8986703347088492,0.9595037698745728,0.9684216380119324,0.890561580657959,,,,,0.8969280146721688,0.9593744874000548,0.9682220220565796,0.8884034752845764,0.890600641907382,0.9585576057434082,0.9674297571182252,0.8800643682479858,
recce_int8qat_fx_standard,0.8876662081613939,0.9674656987190248,0.9738768935203552,0.8751401305198669,,,,,0.8872077028885832,0.9677947759628296,0.9739639163017272,0.8746177554130554,0.877670793214122,0.9681759476661682,0.973732054233551,0.862104594707489,
